propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;SECTOR
153;5278;124;65;236;129;
154;5333;215;173;202;189;
155;5388;17;24;154;3;
156;5400;1172;1238;815;972;
157;5450;1337;488;1365;646;
158;5490;309;104;737;247;
159;5700;5;77;172;182;
160;5700;57;49;120;172;
161;5736;127;204;1355;157;
162;5750;284;96;308;101;
163;5850;1156;718;1254;834;
164;5900;77;124;493;985;
165;5943;138;343;323;240;
166;5990;204;135;157;146;
167;6190;124;1;328;118;
168;6197;276;136;226;259;
169;6200;1049;50;5;63;
170;6490;1240;333;737;926;
171;6497;147;265;90;9;
172;6497;173;204;9;192;
173;6596;1342;8;176;653;
174;6597;292;263;46;221;
175;6600;129;257;120;80;
176;6650;163;52;654;756;
177;6681;136;2;130;151;
178;6756;136;293;98;62;
179;6800;1362;122;171;31;
180;6800;56;94;256;83;
181;6800;815;151;541;374;
182;6835;190;76;310;109;
183;6900;346;58;932;134;
184;6964;1001;358;107;96;
185;6987;103;72;110;251;
186;6987;172;27;176;255;
187;7010;280;57;264;219;
188;7010;230;216;210;126;
189;7100;227;275;208;133;
190;7346;28;47;368;316;
191;7367;191;4;128;203;
192;7438;6;288;267;30;
193;7450;150;248;126;113;
194;7500;177;367;145;221;
195;7600;51;105;320;99;
196;7640;254;71;260;249;
197;7800;365;204;91;3;
198;7900;652;286;895;1124;
199;7900;46;25;383;112;
200;7965;785;22;190;1035;
201;8000;285;27;483;285;
202;8219;204;122;1322;143;
203;8257;1284;130;759;86;
204;8264;356;117;178;358;
205;8300;279;29;514;764;
206;8445;153;43;182;274;
207;8496;226;72;657;239;
208;8500;24;113;960;56;
209;8500;497;429;350;427;
210;8500;368;32;286;154;
211;8535;475;610;693;956;
212;8700;72;164;163;73;
213;8801;893;168;136;318;
214;8850;659;1209;521;694;
215;8976;1050;111;931;299;
216;9000;42;213;391;71;
217;9200;168;214;131;15;
218;9246;479;1112;946;526;
219;9300;1099;144;303;142;
220;9450;297;265;902;240;
221;9500;353;97;356;323;
222;9714;1358;602;1207;373;
223;9800;208;230;127;273;
224;9800;254;338;280;259;
225;9950;221;163;1323;1398;
226;10000;856;240;695;607;
227;10038;318;325;243;1262;
228;10345;824;121;175;118;
229;10350;397;258;10;69;
230;10400;115;315;150;104;
231;10495;272;375;1105;247;
232;10495;268;49;462;388;
233;10695;40;277;207;68;
234;10697;295;393;647;391;
235;10697;286;348;1101;329;
236;10800;166;34;193;231;
237;10850;306;139;126;316;
238;10895;432;425;803;1029;
239;10895;736;905;1332;566;
240;10895;35;38;1160;608;
241;10895;188;1192;23;146;
242;11000;393;390;1157;152;
243;11074;179;364;210;195;
244;11300;282;170;120;264;
245;11300;293;180;225;273;
246;11410;258;358;256;163;
247;11436;869;77;153;1336;
248;11494;155;1014;146;231;
249;11494;764;1110;440;1208;
250;11500;272;267;362;170;
251;11500;113;157;169;129;
252;11500;392;114;663;237;
253;11600;131;65;1057;314;
254;11700;250;17;1063;318;
255;11700;184;77;602;200;
256;11722;1399;56;173;1333;
257;11950;61;151;174;31;
258;11994;1083;172;1102;189;
259;12117;857;213;323;380;
260;12500;1295;136;452;175;
261;12500;9;288;315;128;
262;12944;125;178;202;1013;
263;13000;278;229;485;235;
264;13030;881;207;342;306;
265;13300;178;328;31;204;
266;14000;55;97;294;241;
267;14493;1079;1318;1061;793;
268;14825;328;101;417;1121;
269;16000;730;207;918;805;
270;16492;428;1132;1134;746;
271;16991;202;626;1123;178;
272;17500;1396;1241;795;544;
273;17600;140;9;321;379;
274;18790;346;310;357;368;
275;20000;318;1302;268;381;
276;21400;813;1187;1043;541;
277;21989;219;228;272;281;
278;22500;612;1208;593;1141;
279;22659;403;1393;1372;639;
280;24900;233;962;397;1026;
281;24987;199;144;352;221;
282;200;1383;1213;510;1064;
283;350;737;844;685;967;
284;601;86;878;371;299;
285;789;59;285;757;89;
286;826;1299;609;845;944;
287;939;67;253;701;296;
288;939;95;36;1359;272;
289;976;89;382;428;364;
290;990;571;707;1066;884;
291;1000;1153;640;939;910;
292;1012;120;202;119;374;
293;1014;95;396;269;194;
294;1018;44;146;299;912;
295;1018;44;135;324;1032;
296;1020;1022;662;653;681;
297;1040;486;1052;1094;746;
298;1062;31;158;21;254;
299;1073;160;302;371;297;
300;1080;763;1330;461;1323;
301;1080;491;648;611;1263;
302;1100;462;688;592;677;
303;1112;173;191;195;167;
304;1117;191;183;138;251;
305;1126;100;260;127;30;
306;1134;6;34;111;90;
307;1140;446;456;959;1370;
308;1150;823;1178;611;794;
309;1154;14;73;142;81;
310;1160;498;501;692;1064;
311;1166;128;118;117;233;
312;1176;154;187;121;237;
313;1180;735;438;622;1161;
314;1183;11;154;122;1091;
315;1186;73;293;159;121;
316;1200;599;863;667;1259;
317;1200;498;1140;544;846;
318;1200;675;849;1028;1374;
319;1202;453;491;409;524;
320;1202;44;108;17;26;
321;1220;1175;629;568;837;
322;1222;807;1323;1395;1124;
323;1239;975;90;231;907;
324;1239;691;905;568;1133;
325;1239;817;1230;1155;704;
326;1241;546;1085;1002;1338;
327;1250;1035;865;765;416;
328;1253;74;7;17;134;
329;1267;1323;816;829;1139;
330;1270;379;434;940;926;
331;1275;937;424;423;518;
332;1277;35;167;62;141;
333;1287;171;65;103;40;
334;1290;170;183;266;337;
335;1297;28;147;388;485;
336;1300;440;1381;812;753;
337;1300;1137;1262;880;921;
338;1300;143;53;271;262;
339;1300;106;84;257;210;
340;1300;65;53;383;238;
341;1300;136;29;240;202;
342;1305;960;496;421;1086;
343;1312;1;62;373;379;
344;1314;92;177;180;1379;
345;1314;357;1106;744;856;
346;1314;45;185;910;1157;
347;1326;127;105;200;246;
348;1330;754;1266;603;1318;
349;1331;1310;1172;488;1064;
350;1333;48;283;22;394;
351;1340;951;518;1165;405;
352;1350;132;368;330;206;
353;1352;31;297;325;269;
354;1358;73;362;48;28;
355;1359;30;283;137;103;
356;1360;1;199;1262;325;
357;1360;578;844;602;513;
358;1361;1278;1038;829;1221;
359;1370;185;379;67;247;
360;1380;719;1143;1303;569;
361;1382;143;120;209;257;
362;1389;57;214;174;96;
363;1389;15;156;273;111;
364;1390;445;712;495;646;
365;1390;1055;942;1137;741;
366;1390;81;5;238;99;
367;1391;53;308;212;644;
368;1393;151;220;178;251;
369;1395;186;251;246;161;
370;1400;289;1357;397;392;
371;1400;422;1352;720;704;
372;1402;941;1327;629;784;
373;1403;1078;680;568;1230;
374;1408;45;101;15;59;
375;1408;259;276;227;773;
376;1410;82;203;365;186;
377;1410;1293;546;807;1328;
378;1423;8;355;53;354;
379;1427;501;550;879;704;
380;1427;37;184;881;642;
381;1427;130;110;547;230;
382;1436;3;193;23;175;
383;1438;109;245;102;291;
384;1438;1141;674;1292;664;
385;1450;1205;1054;473;1193;
386;1750;166;220;128;342;
387;1750;9;111;260;129;
388;1750;46;15;73;81;
389;1750;90;195;28;101;
390;1753;93;126;369;65;
391;1760;71;89;268;186;
392;1763;7;168;54;69;
393;1764;63;133;288;9;
394;1764;36;200;206;74;
395;1764;8;28;38;134;
396;1764;94;147;33;55;
397;1764;103;188;13;219;
398;1764;114;267;499;502;
399;1689;37;79;126;182;
400;1689;1084;1132;588;1027;
401;1689;35;68;299;79;
402;1689;231;40;1194;273;
403;1689;55;63;309;106;
404;1689;129;220;135;381;
405;1689;1356;454;1347;554;
406;1689;50;34;299;307;
407;1690;735;973;779;692;
408;1690;116;40;84;170;
409;1697;255;1236;587;382;
410;1697;248;982;1035;400;
411;1697;352;644;1003;586;
412;1699;75;150;398;12;
413;1502;83;24;73;125;
414;1502;34;400;51;236;
415;1502;53;32;46;5;
416;1502;191;90;270;241;
417;1502;569;779;754;1182;
418;1502;249;195;1005;1313;
419;1502;572;693;766;408;
420;1502;69;113;281;138;
421;1502;64;118;151;60;
422;1502;37;263;182;253;
423;1502;185;282;282;386;
424;1504;41;242;84;1176;
425;1510;1399;1214;566;869;
426;1516;816;503;1142;754;
427;1517;912;1313;1056;1128;
428;1502;60;249;133;209;
429;1502;125;250;217;339;
430;1504;9;208;48;1041;
431;1510;1241;821;1156;1020;
432;1516;1011;1036;499;971;
433;1517;1275;1137;1231;606;
434;1539;34;339;70;246;
435;1539;183;236;77;124;
436;1539;4;143;1291;108;
437;1539;543;508;520;532;
438;1540;1344;1333;983;870;
439;1545;402;681;1195;1105;
440;1547;60;231;252;553;
441;1550;95;355;86;238;
442;1550;59;178;115;126;
443;1550;105;57;195;388;
444;1551;60;178;189;34;
445;1551;77;103;149;8;
446;1556;475;712;1043;735;
447;1557;882;1325;991;1229;
448;1558;110;350;246;713;
449;1558;38;5;20;168;
450;1560;494;990;1052;648;
451;1570;661;1258;608;498;
452;1570;61;167;96;196;
453;1573;257;138;1226;1187;
454;1577;709;1020;727;917;
455;1577;7;245;26;306;
456;1577;36;103;197;61;
457;1577;691;802;690;408;
458;1577;611;951;1145;747;
459;1577;95;245;343;322;
460;1577;46;93;141;233;
461;1577;5;378;48;55;
462;1577;78;132;65;113;
463;1581;1037;1114;475;994;
464;1590;1005;748;489;1369;
465;1590;193;328;186;395;
466;1590;88;89;130;177;
467;1590;177;100;323;355;
468;1594;50;37;24;297;
469;1600;157;45;102;108;
470;1600;788;562;566;1130;
471;1600;51;130;287;52;
472;1606;1;285;29;1161;
473;1610;593;523;793;694;
474;1611;111;165;62;371;
475;1614;91;147;267;67;
476;1614;91;359;44;277;
477;1614;64;181;241;1162;
478;1614;190;171;231;314;
479;1614;37;529;44;52;
480;1616;1290;617;426;772;
481;1618;636;1354;1192;586;
482;1620;457;911;1108;1397;
483;1620;28;84;171;169;
484;1625;14;55;335;837;
485;1629;81;122;96;135;
486;1630;238;1157;1248;616;
487;1630;1064;439;1350;806;
488;1635;959;1028;698;511;
489;1640;1012;419;938;985;
490;1648;678;998;1065;430;
491;1648;22;160;189;158;
492;1649;1149;739;813;894;
493;1650;169;35;299;176;
494;1650;37;120;116;60;
495;1650;74;167;7;199;
496;1650;15;60;61;8;
497;1652;556;656;742;702;
498;1652;176;107;318;357;
499;1652;231;1399;1224;489;
500;1652;166;250;53;204;
501;1654;48;122;89;66;
502;1668;191;858;284;356;
503;1669;195;342;125;137;
504;1671;16;290;163;309;
505;1671;1142;886;632;1229;
506;1680;96;262;151;133;
507;1680;161;47;240;383;
508;1686;120;308;175;216;
509;1689;7;1196;110;1099;
510;1689;33;38;271;64;
511;1689;1109;876;989;1376;
512;1689;1093;1321;1084;1375;
513;1689;832;1018;816;985;
514;1689;196;22;160;910;
515;1689;133;175;370;234;
516;1689;1028;656;580;1161;
517;1689;168;203;102;172;
518;1689;845;716;833;962;
519;1689;109;104;300;185;
520;1689;163;227;164;183;
521;1689;75;41;47;41;
522;1689;39;44;101;148;
523;1689;1150;959;497;857;
524;1689;75;18;233;12;
525;1689;248;22;1257;229;
526;1689;57;82;308;168;
527;1689;135;219;161;384;
528;1689;404;956;1322;1246;
529;1689;7;52;260;334;
530;1689;1114;829;1222;761;
531;1690;413;298;22;27;
532;1690;1265;688;447;835;
533;1690;185;52;17;136;
534;1696;143;205;896;1286;
535;1697;283;651;1252;395;
536;1697;262;1068;1143;311;
537;1697;336;1318;568;527;
538;1699;10;141;398;35;
539;1700;190;67;32;24;
540;1700;766;719;478;605;
541;1700;97;383;135;195;
542;1700;197;95;237;185;
543;1700;72;146;44;283;
544;1700;150;193;174;224;
545;1700;76;1264;1013;291;
546;1700;99;4;35;184;
547;1700;91;73;165;55;
548;1700;151;189;172;657;
549;1700;6;24;37;108;
550;1700;164;173;215;193;
551;1705;1170;535;572;569;
552;1705;1077;1357;975;1258;
553;1710;75;203;39;196;
554;1712;95;122;262;277;
555;1714;116;96;271;172;
556;1717;637;486;418;1048;
557;1723;881;406;1108;769;
558;1727;247;317;776;444;
559;1727;13;197;250;166;
560;1727;163;320;724;699;
561;1727;188;247;377;265;
562;1727;259;556;201;1189;
563;1727;93;148;772;87;
564;1727;13;76;82;185;
565;1727;140;59;298;214;
566;1734;717;1360;470;1004;
567;1740;58;94;307;248;
568;1742;2;33;53;290;
569;1742;31;59;251;284;
570;1743;941;1082;424;459;
571;1745;1310;674;921;735;
572;1745;1168;550;622;1254;
573;1746;81;124;95;176;
574;1746;92;179;11;101;
575;1746;8;102;73;173;
576;1746;85;104;133;197;
577;1746;63;116;68;134;
578;1746;175;12;307;188;
579;1746;137;100;777;150;
580;1750;21;132;348;129;
581;1750;501;600;1214;1071;
582;1750;55;217;187;44;
583;1750;32;64;82;22;
584;1750;19;302;14;222;
585;1750;172;217;121;326;
586;1750;61;133;247;145;
587;1750;93;7;92;94;
588;1750;23;135;36;141;
589;1753;50;156;302;43;
590;1760;58;14;256;103;
591;1761;958;1022;996;804;
592;1763;77;197;60;9;
593;1764;65;102;298;43;
594;1764;79;167;225;39;
595;1764;66;3;93;145;
596;1764;60;125;49;76;
597;1764;192;112;86;241;
598;1764;129;226;1320;870;
599;1770;227;106;216;149;
600;1770;43;97;87;251;
601;1775;1225;684;881;1357;
602;1780;160;195;281;195;
603;1780;55;152;263;32;
604;1783;257;325;577;1259;
605;1785;26;105;73;28;
606;1786;144;257;133;175;
607;1787;423;679;660;1383;
608;1788;17;1190;255;189;
609;1790;286;320;237;1265;
610;1790;777;1032;550;1227;
611;1790;266;147;1343;201;
612;1790;32;166;76;110;
613;1790;12;112;89;138;
614;1790;75;146;37;154;
615;1790;1193;1382;1241;641;
616;1791;411;1051;1090;685;
617;1793;193;142;39;232;
618;1795;23;194;157;26;
619;1795;155;33;172;225;
620;1797;95;65;148;79;
621;1800;685;1100;1217;802;
622;1800;555;1027;926;879;
623;1800;70;108;220;270;
624;1800;134;163;70;136;
625;1800;70;185;262;171;
626;1800;99;48;65;67;
627;1800;1112;811;1046;1324;
628;1800;139;54;44;97;
629;1800;78;188;375;22;
630;1800;46;55;56;34;
631;1802;66;187;4;187;
632;1802;111;186;14;14;
633;1802;281;151;1278;1324;
634;1802;41;71;124;3;
635;1802;545;1101;1042;910;
636;1802;36;152;9;160;
637;1802;6;341;91;265;
638;1802;90;307;49;169;
639;1802;164;160;99;39;
640;1807;18;100;174;107;
641;1810;1067;272;187;124;
642;1810;86;23;166;183;
643;1814;24;68;82;284;
644;1814;99;187;35;297;
645;1815;174;230;152;151;
646;1817;940;578;1016;1237;
647;1820;43;57;111;256;
648;1821;1165;1156;482;1066;
649;1824;115;222;129;184;
650;1829;1358;1148;604;547;
651;1830;1083;403;796;773;
652;1832;4;100;232;166;
653;1833;473;715;1028;779;
654;1835;1117;448;1150;1351;
655;1835;6;116;167;325;
656;1835;260;146;376;281;
657;1835;628;1196;1357;1356;
658;1836;12;30;90;238;
659;1840;209;21;130;348;
660;1840;62;102;211;233;
661;1840;177;161;28;68;
662;1840;1178;1113;953;971;
663;1840;39;168;16;9;
664;1840;140;182;1;53;
665;1840;77;165;1368;198;
666;1840;75;188;188;147;
667;1840;39;257;5;110;
668;1840;97;69;40;212;
669;1840;10;127;361;214;
670;1848;192;22;189;115;
671;1849;819;1175;587;659;
672;1850;1129;858;496;1090;
673;1850;196;62;101;307;
674;1850;59;75;99;89;
675;1850;36;94;29;9;
676;1850;1021;1123;929;957;
677;1850;40;166;190;190;
678;1850;190;4;238;317;
679;1850;42;83;98;44;
680;1850;34;2;4;16;
681;1850;18;183;1017;23;
682;1850;66;306;46;249;
683;1850;80;122;24;93;
684;1850;7;105;144;108;
685;1851;27;164;65;150;
686;1854;1266;1363;1005;451;
687;1858;82;152;237;61;
688;1859;868;983;660;479;
689;1861;20;163;2;181;
690;1863;154;37;258;470;
691;1867;12;158;165;161;
692;1870;1085;766;1094;1108;
693;1870;8;7;125;66;
694;1870;59;195;79;81;
695;1870;50;161;74;77;
696;1871;94;196;342;360;
697;1874;1;161;365;1137;
698;1875;198;244;197;346;
699;1875;142;291;116;304;
700;1877;996;554;720;872;
701;1877;78;328;371;77;
702;1877;185;147;365;219;
703;1877;9;159;105;285;
704;1877;176;4;903;99;
705;1877;1194;637;1136;668;
706;1877;124;23;179;106;
707;1877;147;179;316;203;
708;1877;75;95;334;255;
709;1877;92;144;259;21;
710;1877;76;149;397;193;
711;1877;11;154;212;228;
712;1877;72;22;180;3;
713;1877;1103;834;701;1211;
714;1877;54;99;86;153;
715;1877;188;112;897;298;
716;1877;21;49;312;224;
717;1878;43;181;18;105;
718;1880;34;443;203;110;
719;1880;125;74;374;309;
720;1880;122;64;250;330;
721;1880;47;94;359;212;
722;1886;884;440;1086;1302;
723;1888;56;232;76;157;
724;1889;1196;637;1331;706;
725;1890;1066;868;739;1148;
726;1890;52;194;84;184;
727;1890;21;152;19;142;
728;1891;110;264;290;338;
729;1891;12;148;85;9;
730;1897;775;714;1240;656;
731;1897;721;775;1167;586;
732;1898;17;112;48;26;
733;1899;165;102;1254;198;
734;1900;779;652;1385;1250;
735;1900;65;252;791;85;
736;1900;55;188;60;245;
737;1900;20;101;82;73;
738;1900;283;105;11;284;
739;1900;97;158;66;303;
740;1900;19;66;2;249;
741;1900;48;121;1330;50;
742;1906;861;1013;798;1009;
743;1914;30;142;164;196;
744;1915;10;283;4;61;
745;1915;137;157;245;128;
746;1915;8;108;341;16;
747;1915;146;143;69;84;
748;1915;26;186;155;59;
749;1915;52;167;30;188;
750;1915;131;125;37;100;
751;1915;142;173;73;99;
752;1915;682;1038;686;1340;
753;1917;22;241;65;128;
754;1918;84;163;144;165;
755;1920;95;210;55;292;
756;1920;1164;759;648;486;
757;1920;75;7;217;245;
758;1921;159;42;168;85;
759;1922;86;116;86;146;
760;1922;69;164;305;116;
761;1922;163;161;17;22;
762;1922;265;357;881;364;
763;1922;69;64;195;82;
764;1926;89;91;283;342;
765;1926;21;36;382;267;
766;1933;55;190;170;70;
767;1933;1081;1179;1088;663;
768;1950;26;92;527;231;
769;1950;14;23;181;21;
770;1950;206;247;1226;1260;
771;1950;316;853;259;1212;
772;1950;151;102;176;295;
773;1950;178;110;162;205;
774;1950;55;24;164;71;
775;1950;94;189;336;152;
776;1950;14;182;199;300;
777;1950;110;73;163;144;
778;1950;13;199;179;91;
779;1950;194;107;299;212;
780;1950;283;44;51;733;
781;1951;785;1218;1241;420;
782;1952;92;224;57;240;
783;1952;8;132;141;4;
784;1952;47;116;94;93;
785;1952;937;646;1299;1091;
786;1952;2;150;30;103;
787;1952;17;7;973;243;
788;1952;4;82;213;56;
789;1952;985;1398;897;963;
790;1952;969;1310;1073;1256;
791;1952;19;1061;1347;150;
792;1952;290;164;703;87;
793;1952;99;89;81;5;
794;1952;267;277;139;41;
795;1952;58;68;219;24;
796;1952;15;161;287;33;
797;1952;8;121;302;45;
798;1956;185;161;392;957;
799;1956;195;259;134;151;
800;1960;66;169;151;26;
801;1965;80;117;27;148;
802;1970;189;130;130;381;
803;1980;147;149;79;297;
804;1980;63;117;173;188;
805;1981;145;132;261;140;
806;1990;169;129;20;170;
807;1990;95;120;139;3;
808;1990;58;174;282;212;
809;1990;67;130;145;119;
810;1990;36;261;84;211;
811;1990;7;23;103;204;
812;1990;1219;965;469;501;
813;1990;881;1322;938;951;
814;1990;527;111;49;305;
815;1990;91;19;188;14;
816;1990;27;168;145;295;
817;1990;743;1277;1040;1029;
818;1990;627;794;623;618;
819;1990;691;974;487;574;
820;1990;402;994;1101;1145;
821;1990;995;838;1139;1376;
822;1990;1012;1084;1100;833;
823;1990;83;321;371;88;
824;1990;246;90;102;1142;
825;1990;77;23;170;75;
826;1990;52;65;66;133;
827;1990;166;141;74;270;
828;1990;55;191;4;110;
829;1990;229;38;135;560;
830;1995;168;182;316;253;
831;1995;313;61;561;1080;
832;1997;214;228;167;239;
833;1999;12;41;226;178;
834;2000;769;1291;668;974;
835;2000;1300;489;1128;1052;
836;2000;176;38;227;322;
837;2000;172;183;20;272;
838;2000;1358;857;1344;858;
839;2000;36;71;200;76;
840;2000;3;105;233;201;
841;2000;54;1066;29;1101;
842;2000;84;227;671;46;
843;2000;177;154;186;297;
844;2000;17;107;71;186;
845;2000;85;25;147;74;
846;2000;1113;670;966;865;
847;2005;291;398;338;329;
848;2007;253;323;395;307;
849;2008;151;93;184;321;
850;2008;290;7;229;268;
851;2015;170;125;332;1304;
852;2018;149;766;365;249;
853;2019;158;294;371;921;
854;2019;10;105;164;62;
855;2020;454;1364;1314;795;
856;2023;112;121;66;326;
857;2027;9;136;293;1043;
858;2027;78;103;750;20;
859;2027;971;938;648;1020;
860;2027;34;21;140;11;
861;2027;94;79;124;261;
862;2027;2;73;152;125;
863;2027;97;277;19;23;
864;2027;96;64;14;344;
865;2027;251;241;1389;848;
866;2027;174;134;442;268;
867;2027;78;67;52;161;
868;2029;951;896;795;1190;
869;2030;36;41;247;133;
870;2030;34;4;219;276;
871;2040;67;145;264;56;
872;2050;441;1076;1215;733;
873;2050;193;167;134;398;
874;2052;1392;687;1045;1088;
875;2055;515;936;550;627;
876;2056;81;2;57;111;
877;2057;35;49;1121;142;
878;2059;60;168;70;382;
879;2059;500;1049;1112;1190;
880;2059;701;694;851;959;
881;2060;656;801;871;1115;
882;2060;792;477;788;567;
883;2062;777;651;403;1058;
884;2062;59;155;129;87;
885;2064;664;421;1021;611;
886;2065;76;80;3;214;
887;2065;77;31;255;136;
888;2065;33;111;37;122;
889;2065;734;85;767;30;
890;2065;100;95;310;582;
891;2065;67;165;158;1;
892;2065;94;99;59;84;
893;2065;3;190;296;155;
894;2065;239;214;21;44;
895;2065;251;25;1037;71;
896;2065;76;8;339;124;
897;2065;89;237;87;85;
898;2065;74;193;189;96;
899;2065;69;53;2;140;
900;2065;55;258;966;805;
901;2065;80;84;384;354;
902;2065;140;5;1361;15;
903;2065;150;198;231;351;
904;2065;46;88;22;218;
905;2065;12;217;287;48;
906;2065;74;180;161;158;
907;2065;266;43;274;216;
908;2065;288;68;104;334;
909;2065;537;1184;787;1025;
910;2065;41;24;754;104;
911;2065;47;114;286;75;
912;2065;1;94;77;100;
913;2065;179;119;214;515;
914;2066;99;190;332;206;
915;2066;256;285;123;1029;
916;2070;66;158;192;2;
917;2070;118;212;233;267;
918;2070;5;102;106;87;
919;2070;175;224;275;285;
920;2070;118;232;272;222;
921;2070;111;236;260;286;
922;2070;152;209;293;348;
923;2072;182;253;292;311;
924;2072;1242;776;1349;1333;
925;2094;158;238;118;101;
926;2095;1357;888;702;1005;
927;2095;1099;1095;612;1305;
928;2096;232;200;139;145;
929;2099;98;227;163;151;
930;2100;612;1303;1081;839;
931;2100;1076;479;654;1265;
932;2100;177;184;263;125;
933;2100;160;43;197;171;
934;2100;759;1011;1028;1375;
935;2100;43;141;492;181;
936;2100;91;327;351;5;
937;2100;8;400;381;17;
938;2100;83;168;134;218;
939;2100;91;102;29;139;
940;2100;122;278;255;267;
941;2100;44;106;168;47;
942;2100;225;148;1368;223;
943;2100;11;122;285;272;
944;2100;179;219;274;259;
